中国央视,#genre#
CCTV-1 综合,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2 财经,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3 综艺,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228392/index.m3u8
CCTV-4 中文国际,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5 体育,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6 电影,http://[2409:8087:2001:20:2800:0:df6e:eb14]:80/ott.mobaibox.com/PLTV/4/224/3221228123/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8 电视剧,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/ott.mobaibox.com/PLTV/4/224/3221227473/index.m3u8
CCTV-9 纪录,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/ott.mobaibox.com/PLTV/4/224/3221227614/index.m3u8
CCTV-10 科教,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13 新闻,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/ott.mobaibox.com/PLTV/4/224/3221227387/index.m3u8
CCTV-14 少儿,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15 音乐,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225513/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/ott.mobaibox.com/PLTV/4/224/3221228112/index.m3u8
CCTV-17 农业农村,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/ott.mobaibox.com/PLTV/4/224/3221227592/index.m3u8
CCTV-4K 超高清,http://1.14.131.61:5678/gd4k.php#http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV-8K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8

CGTN,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001024/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Documentary,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002905/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Français,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002827/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Русский,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002883/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Español,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002716/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN العربية,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002826/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?t=Q3ZTI5YWVmMmUwM==&d=7e29aef2e03907f&pid=&cid=20&u=freeuser&l=001&sid=My5f5evM7A+JM7kBEt7zRg==&r=20240116195900&e=20240117195900&nc=5juVZbdBPOgB&a=7&v=2&hlsSessionID=7114844658832085543&srchost=172.16.22.158:8060&gid=1cTuE8i8Z%2F6MoBf3Sw1THw%3D%3D

兵器科技,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
高尔夫网球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8

CNC中文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226297/index.m3u8
CNC英文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226298/index.m3u8

江西,#genre#
江西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225492/1/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/1/index.m3u8?fmt=ts2hls
江西-2 都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/1/index.m3u8?fmt=ts2hls
江西-3 经济生活,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226206/1/index.m3u8?fmt=ts2hls
江西-4 影视旅游,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226291/1/index.m3u8?fmt=ts2hls
江西-5 公共农业,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225578/1/index.m3u8?fmt=ts2hls
江西-6 少儿,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/1/index.m3u8?fmt=ts2hls
江西-7 新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/1/index.m3u8?fmt=ts2hls
江西移动电视高清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226285/1/index.m3u8?fmt=ts2hls
江西教育高清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226197/1/index.m3u8?fmt=ts2hls
陶瓷频道,http://39.135.140.104:6610/PLTV/88888888/224/3221226304/1/index.m3u8?fmt=ts2hls

南昌-1 新闻综合,http://live.cooltv.top/tv/nctv.php?id=1
南昌-2 文旅,http://live.cooltv.top/tv/nctv.php?id=2
南昌-3 资讯,http://live.cooltv.top/tv/nctv.php?id=3

赣州新闻综合,http://115.150.63.77:9902/tsfile/live/0001_50.m3u8
赣州公共,http://115.150.63.77:9902/tsfile/live/0001_51.m3u8
赣州教育,http://115.150.63.77:9902/tsfile/live/0001_52.m3u8
章贡综合频道,http://115.150.63.77:9902/tsfile/live/0001_53.m3u8

赣州新闻综合,http://wb.jxgztv.com/live/gztv1.m3u8
赣州公共,http://wb.jxgztv.com/live/gztv2.m3u8
赣州教育,http://wb.jxgztv.com/live/gztv3.m3u8

都昌新闻综合,http://live02.jxtvcn.com.cn/live/ganyun_duchang.m3u8?t=&token=1
庐山综合,http://live02.jxtvcn.com.cn/live/ganyun_lushan.m3u8?t=&token=1
彭泽综合,http://live02.jxtvcn.com.cn/live/ganyun_pengze.m3u8?t=&token=1
武宁新闻综合,http://live02.jxtvcn.com.cn/live/ganyun_wuning.m3u8?t=&token=1
修水新闻综合,http://live02.jxtvcn.com.cn/live/ganyun_xiushui01.m3u8?t=&token=1
永修综合,http://live02.jxtvcn.com.cn/live/ganyun_yongxiu.m3u8?t=&token=1
萍乡新闻综合,http://live02.jxtvcn.com.cn/live/ganyun_px_xwzh.m3u8?t=&token=1
萍乡公共,http://live02.jxtvcn.com.cn/live/ganyun_px_ggpd.m3u8?t=&token=1
上饶新闻综合,http://live02.jxtvcn.com.cn/live/ganyun_shangrao1.m3u8?t=&token=1
上饶经济旅游,http://live02.jxtvcn.com.cn/live/ganyun_shangrao2.m3u8?t=&token=1
广丰综合,http://live02.jxtvcn.com.cn/live/ganyun_guangfeng.m3u8?t=&token=1
余干综合,http://live02.jxtvcn.com.cn/live/ganyun_yugan.m3u8?t=&token=1
铅山综合,http://live02.jxtvcn.com.cn/live/ganyun_yanshan.m3u8?t=&token=1
新余新闻综合,http://live02.jxtvcn.com.cn/live/ganyun_xinyu_hd1.m3u8?t=&token=1
新余公共,http://live02.jxtvcn.com.cn/live/ganyun_xinyu_hd2.m3u8?t=&token=1
新余教育,http://live02.jxtvcn.com.cn/live/ganyun_xinyu_hd3.m3u8?t=&token=1
分宜综合,http://live02.jxtvcn.com.cn/live/ganyun_fenyi_tv.m3u8?t=&token=1
铜鼓综合,http://live02.jxtvcn.com.cn/live/ganyun_tonggu.m3u8?t=&token=1
万载综合,http://live02.jxtvcn.com.cn/live/ganyun_wanzai.m3u8?t=&token=1
宁都综合,http://live02.jxtvcn.com.cn/live/ganyun_ningdu.m3u8?t=&token=1
井冈山综合,http://live02.jxtvcn.com.cn/live/ganyun_jgs.m3u8?t=&token=1
广昌综合,http://live02.jxtvcn.com.cn/live/ganyun_guangchuangTV.m3u8?t=&token=1

中国广播,#genre#
中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
台海之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
大湾区之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
老年之声,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
藏语广播,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
维吾尔语广播,http://ngcdn013.cnr.cn/live/wygb/index.m3u8
阅读之声,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
中国乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
哈萨克语广播,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8
CRI 南海之声,http://sk.cri.cn/nhzs.m3u8
CRI 轻松调频 FM91.5,http://sk.cri.cn/915.m3u8
CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8
英语资讯广播 China Plus Radio,http://cnlive.cnr.cn/hls/yyzxgb.m3u8
CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI 海峡飞虹,http://sk.cri.cn/hxfh.m3u8
CRI 客家之声,http://sk.cri.cn/hakka.m3u8
CRI 闽南之音,http://sk.cri.cn/minnan.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CRI NEWS Plus AM1008,http://sk.cri.cn/am1008.m3u8

香港,#genre#
港台電視31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8#https://cdn.hkdtmb.com/hls/live/31.m3u8?token=415002797098260
港台電視32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8#https://cdn.hkdtmb.com/hls/live/32.m3u8?token=415002797098260
港台電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8#https://cdn.hkdtmb.com/hls/live/33.m3u8?token=415002797098260
港台電視34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8#https://cdn.hkdtmb.com/hls/live/34.m3u8?token=415002797098260
港台電視35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8#https://cdn.hkdtmb.com/hls/live/35.m3u8?token=415002797098260

凤凰中文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
凤凰资讯,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226274/1/index.m3u8?fmt=ts2hls
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/1/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8

HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
HOY APP CH1,https://d238cgug17vwpr.cloudfront.net/ch1/live.m3u8
HOY APP CH2,https://d238cgug17vwpr.cloudfront.net/ch2/live.m3u8

無綫新聞台,https://cdn.hkdtmb.com/hls/live/83.m3u8?token=415002797098260#http://live.cooltv.top/tv/tvb.php?id=1&hq
無綫新聞 NEVT1,http://live.cooltv.top/tv/tvb.php?id=4&hq#http://live.cooltv.top/tv/tvb.php?id=5&hq
無綫新聞 NEVT2,http://live.cooltv.top/tv/tvb.php?id=6&hq#http://live.cooltv.top/tv/tvb.php?id=7&hq
無綫財經 體育 資訊台,https://cdn.hkdtmb.com/hls/live/85.m3u8?token=415002797098260#http://live.cooltv.top/tv/tvb.php?id=2&hq#http://live.cooltv.top/tv/tvb.php?id=3&hq

ViuTVsix,https://cdn.hkdtmb.com/hls/live/96.m3u8?token=415002797098260
ViuTV,https://cdn.hkdtmb.com/hls/live/99.m3u8?token=415002797098260

myTV SUPER直播足球1台(900),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT1_h264/__op/default/__f/manifest.mpd
myTV SUPER直播足球2台(901),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT2_h264/__op/default/__f/manifest.mpd
myTV SUPER直播足球3台(902),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT3_h264/__op/default/__f/manifest.mpd
myTV SUPER直播足球4台(903),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT4_h264/__op/default/__f/manifest.mpd
myTV SUPER直播足球5台(904),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT5_h264/__op/default/__f/manifest.mpd
myTV SUPER直播足球6台(905),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT6_h264/__op/default/__f/manifest.mpd
myTV SUPER直播足球7台(906),https://prd-mytvs-hkjc-evt4-vcache.tvb.com/__cl/slocalo24/__c/ott_EVT7_h264/__op/default/__f/manifest.mpd

台灣,#genre#
中視新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/中視新聞.m3u8
華視新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/華視新聞.m3u8
台視新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/台視新聞.m3u8
公視新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/公視新聞.m3u8
TaiwanPlus TV,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/ap-northeast-1/6282251407001/profile_0/chunklist.m3u8
民視新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/民視新聞.m3u8
鏡新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/鏡新聞.m3u8
三立海外直播,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/三立海外直播.m3u8
三立iNEWS,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/三立iNEWS.m3u8
三立+,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/三立+.m3u8
東森新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/東森新聞.m3u8
東森LIVE,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/東森LIVE.m3u8
東森財經新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/東森財經新聞.m3u8
東森財經股市,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/東森財經股市.m3u8
寰宇新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/寰宇新聞.m3u8
寰宇新聞台灣台,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/寰宇新聞台灣台.m3u8
寰宇財經台,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/寰宇財經台.m3u8
TVBS新聞台,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/TVBS新聞台.m3u8
TVBS NEWS網路獨家新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/TVBSNEWS網路獨家新聞.m3u8
TVBS,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/TVBS.m3u8
TVBS Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
中天新聞,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/中天新聞.m3u8
國會頻道1,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/國會頻道1.m3u8
國會頻道2,https://raw.githubusercontent.com/LiuYi0526/IPTVnew/YTlive/國會頻道2.m3u8
东森电影,https://ctrl.laotv.la/live/DongsenMovie/index.m3u8
